# Select Table
#
# 1986-92 Canadian Institute of Actuaries (CIA) - Female Smoker
# Table: 437
#
# Basis: Age Nearest Birthday
# Minimum Select Age: 16
# Maximum Select Age: 80
#  
# Nation: Canada
# Scaling Factor: 0
# Data Type: Floating Point
# Row, Column (if applicable)->id:            Age Duration
# Row, Column (if applicable)->ScaleType:     Age "Ordinal Date"
# Row, Column (if applicable)->AxisName:      Age Duration
# Row, Column (if applicable)->MinScaleValue: 16   1
# Row, Column (if applicable)->MaxScaleValue: 80  15
# Row, Column (if applicable)->Increment:      1   1
	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89
26	0.00016	0.00024	0.00031	0.00039	0.00046	0.00052	0.00057	0.00064	0.00073	0.00082	0.00093	0.00106	0.00123	0.00145	0.00171	0.00198	0.00217	0.00239	0.00264	0.00287	0.00313	0.0034	0.00371	0.00404	0.0044	0.00479	0.00522	0.00569	0.00621	0.00677	0.00738	0.00806	0.0088	0.0096	0.01049	0.01145	0.0125	0.01365	0.01491	0.01628	0.01778	0.01941	0.02119	0.02312	0.02523	0.02753	0.03004	0.03276	0.03573	0.03896	0.04247	0.04631	0.05048	0.05504	0.06001	0.06543	0.07137	0.07786	0.08497	0.09276	0.10131	0.1107	0.12102	0.13237	0.14486	0.1586	0.17372	0.19034	0.20859	0.22861	0.25052	0.27444	0.30046	0.32865	0.36122	0.40904	0.48512	0.60243	0.774	1	0	0	0	0	0	0	0	0	0	0
27	0.00019	0.00028	0.00036	0.00042	0.00049	0.00054	0.00061	0.0007	0.00079	0.0009	0.00102	0.00119	0.00141	0.00166	0.00192	0.00217	0.00239	0.00264	0.00287	0.00313	0.0034	0.00371	0.00404	0.0044	0.00479	0.00522	0.00569	0.00621	0.00677	0.00738	0.00806	0.0088	0.0096	0.01049	0.01145	0.0125	0.01365	0.01491	0.01628	0.01778	0.01941	0.02119	0.02312	0.02523	0.02753	0.03004	0.03276	0.03573	0.03896	0.04247	0.04631	0.05048	0.05504	0.06001	0.06543	0.07137	0.07786	0.08497	0.09276	0.10131	0.1107	0.12102	0.13237	0.14486	0.1586	0.17372	0.19034	0.20859	0.22861	0.25052	0.27444	0.30046	0.32865	0.36122	0.40904	0.48512	0.60243	0.774	1	0	0	0	0	0	0	0	0	0	0	0
28	0.00022	0.00032	0.00039	0.00045	0.00051	0.00058	0.00066	0.00076	0.00086	0.00099	0.00115	0.00136	0.00161	0.00187	0.00211	0.00239	0.00264	0.00287	0.00313	0.0034	0.00371	0.00404	0.0044	0.00479	0.00522	0.00569	0.00621	0.00677	0.00738	0.00806	0.0088	0.0096	0.01049	0.01145	0.0125	0.01365	0.01491	0.01628	0.01778	0.01941	0.02119	0.02312	0.02523	0.02753	0.03004	0.03276	0.03573	0.03896	0.04247	0.04631	0.05048	0.05504	0.06001	0.06543	0.07137	0.07786	0.08497	0.09276	0.10131	0.1107	0.12102	0.13237	0.14486	0.1586	0.17372	0.19034	0.20859	0.22861	0.25052	0.27444	0.30046	0.32865	0.36122	0.40904	0.48512	0.60243	0.774	1	0	0	0	0	0	0	0	0	0	0	0	0
29	0.00025	0.00035	0.00041	0.00047	0.00054	0.00063	0.00072	0.00082	0.00095	0.00111	0.00132	0.00155	0.00181	0.00205	0.00232	0.00264	0.00287	0.00313	0.0034	0.00371	0.00404	0.0044	0.00479	0.00522	0.00569	0.00621	0.00677	0.00738	0.00806	0.0088	0.0096	0.01049	0.01145	0.0125	0.01365	0.01491	0.01628	0.01778	0.01941	0.02119	0.02312	0.02523	0.02753	0.03004	0.03276	0.03573	0.03896	0.04247	0.04631	0.05048	0.05504	0.06001	0.06543	0.07137	0.07786	0.08497	0.09276	0.10131	0.1107	0.12102	0.13237	0.14486	0.1586	0.17372	0.19034	0.20859	0.22861	0.25052	0.27444	0.30046	0.32865	0.36122	0.40904	0.48512	0.60243	0.774	1	0	0	0	0	0	0	0	0	0	0	0	0	0
30	0.00027	0.00037	0.00043	0.00051	0.00059	0.00068	0.00078	0.0009	0.00106	0.00127	0.0015	0.00175	0.00199	0.00225	0.00257	0.00287	0.00313	0.0034	0.00371	0.00404	0.0044	0.00479	0.00522	0.00569	0.00621	0.00677	0.00738	0.00806	0.0088	0.0096	0.01049	0.01145	0.0125	0.01365	0.01491	0.01628	0.01778	0.01941	0.02119	0.02312	0.02523	0.02753	0.03004	0.03276	0.03573	0.03896	0.04247	0.04631	0.05048	0.05504	0.06001	0.06543	0.07137	0.07786	0.08497	0.09276	0.10131	0.1107	0.12102	0.13237	0.14486	0.1586	0.17372	0.19034	0.20859	0.22861	0.25052	0.27444	0.30046	0.32865	0.36122	0.40904	0.48512	0.60243	0.774	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
31	0.00028	0.00038	0.00046	0.00055	0.00064	0.00074	0.00086	0.00101	0.00121	0.00144	0.00169	0.00192	0.00218	0.00249	0.00279	0.00313	0.0034	0.00371	0.00404	0.0044	0.00479	0.00522	0.00569	0.00621	0.00677	0.00738	0.00806	0.0088	0.0096	0.01049	0.01145	0.0125	0.01365	0.01491	0.01628	0.01778	0.01941	0.02119	0.02312	0.02523	0.02753	0.03004	0.03276	0.03573	0.03896	0.04247	0.04631	0.05048	0.05504	0.06001	0.06543	0.07137	0.07786	0.08497	0.09276	0.10131	0.1107	0.12102	0.13237	0.14486	0.1586	0.17372	0.19034	0.20859	0.22861	0.25052	0.27444	0.30046	0.32865	0.36122	0.40904	0.48512	0.60243	0.774	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
32	0.0003	0.00041	0.0005	0.0006	0.0007	0.00081	0.00097	0.00116	0.00138	0.00162	0.00185	0.00211	0.00242	0.00271	0.00304	0.0034	0.00371	0.00404	0.0044	0.00479	0.00522	0.00569	0.00621	0.00677	0.00738	0.00806	0.0088	0.0096	0.01049	0.01145	0.0125	0.01365	0.01491	0.01628	0.01778	0.01941	0.02119	0.02312	0.02523	0.02753	0.03004	0.03276	0.03573	0.03896	0.04247	0.04631	0.05048	0.05504	0.06001	0.06543	0.07137	0.07786	0.08497	0.09276	0.10131	0.1107	0.12102	0.13237	0.14486	0.1586	0.17372	0.19034	0.20859	0.22861	0.25052	0.27444	0.30046	0.32865	0.36122	0.40904	0.48512	0.60243	0.774	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
33	0.00032	0.00044	0.00054	0.00065	0.00076	0.00091	0.0011	0.00132	0.00156	0.00178	0.00203	0.00234	0.00263	0.00295	0.00331	0.00371	0.00404	0.0044	0.00479	0.00522	0.00569	0.00621	0.00677	0.00738	0.00806	0.0088	0.0096	0.01049	0.01145	0.0125	0.01365	0.01491	0.01628	0.01778	0.01941	0.02119	0.02312	0.02523	0.02753	0.03004	0.03276	0.03573	0.03896	0.04247	0.04631	0.05048	0.05504	0.06001	0.06543	0.07137	0.07786	0.08497	0.09276	0.10131	0.1107	0.12102	0.13237	0.14486	0.1586	0.17372	0.19034	0.20859	0.22861	0.25052	0.27444	0.30046	0.32865	0.36122	0.40904	0.48512	0.60243	0.774	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
34	0.00034	0.00048	0.00059	0.00071	0.00086	0.00104	0.00126	0.00149	0.00171	0.00196	0.00225	0.00254	0.00286	0.00321	0.0036	0.00404	0.0044	0.00479	0.00522	0.00569	0.00621	0.00677	0.00738	0.00806	0.0088	0.0096	0.01049	0.01145	0.0125	0.01365	0.01491	0.01628	0.01778	0.01941	0.02119	0.02312	0.02523	0.02753	0.03004	0.03276	0.03573	0.03896	0.04247	0.04631	0.05048	0.05504	0.06001	0.06543	0.07137	0.07786	0.08497	0.09276	0.10131	0.1107	0.12102	0.13237	0.14486	0.1586	0.17372	0.19034	0.20859	0.22861	0.25052	0.27444	0.30046	0.32865	0.36122	0.40904	0.48512	0.60243	0.774	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
35	0.00037	0.00052	0.00065	0.0008	0.00098	0.00119	0.00141	0.00164	0.00188	0.00217	0.00245	0.00276	0.00311	0.00349	0.00392	0.0044	0.00479	0.00522	0.00569	0.00621	0.00677	0.00738	0.00806	0.0088	0.0096	0.01049	0.01145	0.0125	0.01365	0.01491	0.01628	0.01778	0.01941	0.02119	0.02312	0.02523	0.02753	0.03004	0.03276	0.03573	0.03896	0.04247	0.04631	0.05048	0.05504	0.06001	0.06543	0.07137	0.07786	0.08497	0.09276	0.10131	0.1107	0.12102	0.13237	0.14486	0.1586	0.17372	0.19034	0.20859	0.22861	0.25052	0.27444	0.30046	0.32865	0.36122	0.40904	0.48512	0.60243	0.774	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
