# Select Table
#
# 1986-92 Canadian Institute of Actuaries (CIA) - Male Nonsmoker
# Table: 436
#
# Basis: Age Nearest Birthday
# Minimum Select Age: 16
# Maximum Select Age: 80
#  
# Nation: Canada
# Scaling Factor: 0
# Data Type: Floating Point
# Row, Column (if applicable)->id:            Age Duration
# Row, Column (if applicable)->ScaleType:     Age "Ordinal Date"
# Row, Column (if applicable)->AxisName:      Age Duration
# Row, Column (if applicable)->MinScaleValue: 16   1
# Row, Column (if applicable)->MaxScaleValue: 80  15
# Row, Column (if applicable)->Increment:      1   1
	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89
26	0.00054	0.00066	0.00075	0.00084	0.00094	0.00106	0.00119	0.00132	0.00144	0.00153	0.0016	0.00169	0.00181	0.00196	0.00217	0.00246	0.00273	0.00303	0.00338	0.00378	0.00424	0.00475	0.00534	0.00599	0.00672	0.00754	0.00846	0.00947	0.0106	0.01184	0.01321	0.01471	0.01636	0.01817	0.02014	0.02229	0.02463	0.02717	0.02991	0.03288	0.03609	0.03954	0.04325	0.04723	0.05149	0.05604	0.06091	0.06608	0.07159	0.07744	0.08365	0.09022	0.09716	0.1045	0.11223	0.12039	0.12897	0.13801	0.14751	0.15751	0.16802	0.17907	0.19071	0.20298	0.21592	0.22959	0.24406	0.2594	0.2757	0.29306	0.31158	0.33138	0.35257	0.37528	0.40179	0.44301	0.51177	0.62086	0.78319	1	0	0	0	0	0	0	0	0	0	0
27	0.00055	0.00068	0.00077	0.00088	0.00099	0.00112	0.00126	0.00137	0.00146	0.00154	0.00162	0.00174	0.0019	0.0021	0.00239	0.00273	0.00303	0.00338	0.00378	0.00424	0.00475	0.00534	0.00599	0.00672	0.00754	0.00846	0.00947	0.0106	0.01184	0.01321	0.01471	0.01636	0.01817	0.02014	0.02229	0.02463	0.02717	0.02991	0.03288	0.03609	0.03954	0.04325	0.04723	0.05149	0.05604	0.06091	0.06608	0.07159	0.07744	0.08365	0.09022	0.09716	0.1045	0.11223	0.12039	0.12897	0.13801	0.14751	0.15751	0.16802	0.17907	0.19071	0.20298	0.21592	0.22959	0.24406	0.2594	0.2757	0.29306	0.31158	0.33138	0.35257	0.37528	0.40179	0.44301	0.51177	0.62086	0.78319	1	0	0	0	0	0	0	0	0	0	0	0
28	0.00056	0.0007	0.00081	0.00093	0.00106	0.00119	0.0013	0.00139	0.00147	0.00156	0.00167	0.00183	0.00203	0.00231	0.00264	0.00303	0.00338	0.00378	0.00424	0.00475	0.00534	0.00599	0.00672	0.00754	0.00846	0.00947	0.0106	0.01184	0.01321	0.01471	0.01636	0.01817	0.02014	0.02229	0.02463	0.02717	0.02991	0.03288	0.03609	0.03954	0.04325	0.04723	0.05149	0.05604	0.06091	0.06608	0.07159	0.07744	0.08365	0.09022	0.09716	0.1045	0.11223	0.12039	0.12897	0.13801	0.14751	0.15751	0.16802	0.17907	0.19071	0.20298	0.21592	0.22959	0.24406	0.2594	0.2757	0.29306	0.31158	0.33138	0.35257	0.37528	0.40179	0.44301	0.51177	0.62086	0.78319	1	0	0	0	0	0	0	0	0	0	0	0	0
29	0.00057	0.00073	0.00085	0.00098	0.00112	0.00123	0.00132	0.0014	0.00149	0.00161	0.00176	0.00195	0.00223	0.00256	0.00294	0.00338	0.00378	0.00424	0.00475	0.00534	0.00599	0.00672	0.00754	0.00846	0.00947	0.0106	0.01184	0.01321	0.01471	0.01636	0.01817	0.02014	0.02229	0.02463	0.02717	0.02991	0.03288	0.03609	0.03954	0.04325	0.04723	0.05149	0.05604	0.06091	0.06608	0.07159	0.07744	0.08365	0.09022	0.09716	0.1045	0.11223	0.12039	0.12897	0.13801	0.14751	0.15751	0.16802	0.17907	0.19071	0.20298	0.21592	0.22959	0.24406	0.2594	0.2757	0.29306	0.31158	0.33138	0.35257	0.37528	0.40179	0.44301	0.51177	0.62086	0.78319	1	0	0	0	0	0	0	0	0	0	0	0	0	0
30	0.00059	0.00076	0.0009	0.00104	0.00115	0.00125	0.00133	0.00142	0.00153	0.00168	0.00188	0.00215	0.00247	0.00284	0.00328	0.00378	0.00424	0.00475	0.00534	0.00599	0.00672	0.00754	0.00846	0.00947	0.0106	0.01184	0.01321	0.01471	0.01636	0.01817	0.02014	0.02229	0.02463	0.02717	0.02991	0.03288	0.03609	0.03954	0.04325	0.04723	0.05149	0.05604	0.06091	0.06608	0.07159	0.07744	0.08365	0.09022	0.09716	0.1045	0.11223	0.12039	0.12897	0.13801	0.14751	0.15751	0.16802	0.17907	0.19071	0.20298	0.21592	0.22959	0.24406	0.2594	0.2757	0.29306	0.31158	0.33138	0.35257	0.37528	0.40179	0.44301	0.51177	0.62086	0.78319	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
31	0.00062	0.0008	0.00095	0.00107	0.00117	0.00125	0.00135	0.00146	0.00161	0.0018	0.00206	0.00238	0.00274	0.00317	0.00366	0.00424	0.00475	0.00534	0.00599	0.00672	0.00754	0.00846	0.00947	0.0106	0.01184	0.01321	0.01471	0.01636	0.01817	0.02014	0.02229	0.02463	0.02717	0.02991	0.03288	0.03609	0.03954	0.04325	0.04723	0.05149	0.05604	0.06091	0.06608	0.07159	0.07744	0.08365	0.09022	0.09716	0.1045	0.11223	0.12039	0.12897	0.13801	0.14751	0.15751	0.16802	0.17907	0.19071	0.20298	0.21592	0.22959	0.24406	0.2594	0.2757	0.29306	0.31158	0.33138	0.35257	0.37528	0.40179	0.44301	0.51177	0.62086	0.78319	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
32	0.00065	0.00085	0.00098	0.00108	0.00117	0.00127	0.00138	0.00153	0.00172	0.00198	0.00228	0.00264	0.00305	0.00354	0.0041	0.00475	0.00534	0.00599	0.00672	0.00754	0.00846	0.00947	0.0106	0.01184	0.01321	0.01471	0.01636	0.01817	0.02014	0.02229	0.02463	0.02717	0.02991	0.03288	0.03609	0.03954	0.04325	0.04723	0.05149	0.05604	0.06091	0.06608	0.07159	0.07744	0.08365	0.09022	0.09716	0.1045	0.11223	0.12039	0.12897	0.13801	0.14751	0.15751	0.16802	0.17907	0.19071	0.20298	0.21592	0.22959	0.24406	0.2594	0.2757	0.29306	0.31158	0.33138	0.35257	0.37528	0.40179	0.44301	0.51177	0.62086	0.78319	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
33	0.00068	0.00087	0.00099	0.00109	0.00119	0.0013	0.00145	0.00163	0.00189	0.00218	0.00253	0.00294	0.00341	0.00396	0.0046	0.00534	0.00599	0.00672	0.00754	0.00846	0.00947	0.0106	0.01184	0.01321	0.01471	0.01636	0.01817	0.02014	0.02229	0.02463	0.02717	0.02991	0.03288	0.03609	0.03954	0.04325	0.04723	0.05149	0.05604	0.06091	0.06608	0.07159	0.07744	0.08365	0.09022	0.09716	0.1045	0.11223	0.12039	0.12897	0.13801	0.14751	0.15751	0.16802	0.17907	0.19071	0.20298	0.21592	0.22959	0.24406	0.2594	0.2757	0.29306	0.31158	0.33138	0.35257	0.37528	0.40179	0.44301	0.51177	0.62086	0.78319	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
34	0.0007	0.00088	0.00099	0.0011	0.00122	0.00137	0.00155	0.00179	0.00209	0.00242	0.00282	0.00328	0.00382	0.00444	0.00516	0.00599	0.00672	0.00754	0.00846	0.00947	0.0106	0.01184	0.01321	0.01471	0.01636	0.01817	0.02014	0.02229	0.02463	0.02717	0.02991	0.03288	0.03609	0.03954	0.04325	0.04723	0.05149	0.05604	0.06091	0.06608	0.07159	0.07744	0.08365	0.09022	0.09716	0.1045	0.11223	0.12039	0.12897	0.13801	0.14751	0.15751	0.16802	0.17907	0.19071	0.20298	0.21592	0.22959	0.24406	0.2594	0.2757	0.29306	0.31158	0.33138	0.35257	0.37528	0.40179	0.44301	0.51177	0.62086	0.78319	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
35	0.00071	0.00088	0.001	0.00113	0.00128	0.00145	0.0017	0.00198	0.00231	0.0027	0.00315	0.00367	0.00428	0.00498	0.00579	0.00672	0.00754	0.00846	0.00947	0.0106	0.01184	0.01321	0.01471	0.01636	0.01817	0.02014	0.02229	0.02463	0.02717	0.02991	0.03288	0.03609	0.03954	0.04325	0.04723	0.05149	0.05604	0.06091	0.06608	0.07159	0.07744	0.08365	0.09022	0.09716	0.1045	0.11223	0.12039	0.12897	0.13801	0.14751	0.15751	0.16802	0.17907	0.19071	0.20298	0.21592	0.22959	0.24406	0.2594	0.2757	0.29306	0.31158	0.33138	0.35257	0.37528	0.40179	0.44301	0.51177	0.62086	0.78319	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
